output, calc
31085, 0.10166666666666657
28360, -4.439999999999998
28799, -3.7083333333333357
29401, -2.7049999999999983
28910, -3.5233333333333334
29164, -3.1000000000000014
29054, -3.2833333333333314
29386, -2.729999999999997
29540, -2.4733333333333363
29571, -2.421666666666667
29448, -2.626666666666665
29762, -2.1033333333333317
29775, -2.0816666666666634
29775, -2.0816666666666634
29820, -2.0066666666666677
29923, -1.8350000000000009
29762, -2.1033333333333317
30114, -1.5166666666666657
29908, -1.8599999999999994
29805, -2.0316666666666663
29775, -2.0816666666666634
29762, -2.1033333333333317
29997, -1.711666666666666
29386, -2.729999999999997
29599, -2.375
29229, -2.991666666666667
29054, -3.2833333333333314
29164, -3.1000000000000014
28506, -4.196666666666665
28718, -3.8433333333333337
27763, -5.435000000000002
27008, -6.693333333333335
26726, -7.163333333333334
25837, -8.645000000000003
27745, -5.464999999999996
28146, -4.796666666666667
28830, -3.6566666666666663
